datetime,user1_production,user1_consumption,user2_production,user2_consumption
2021-09-01 00:00:00,0.713,96.59,0.0,26.628
2021-09-01 01:00:00,1.132,77.691,0.0,24.001
2021-09-01 02:00:00,0.49,91.594,0.0,23.926
2021-09-01 03:00:00,0.496,87.955,0.0,26.02
2021-09-01 04:00:00,0.149,88.184,0.0,22.363
2021-09-01 05:00:00,0.298,89.781,0.0,22.448
2021-09-01 06:00:00,1.271,96.481,2.863,21.551
2021-09-01 07:00:00,22.122,94.592,33.542,17.468
2021-09-01 08:00:00,64.257,77.308,106.034,5.744
2021-09-01 09:00:00,170.312,54.211,194.731,4.38
2021-09-01 10:00:00,286.533,36.071,238.425,5.34
2021-09-01 11:00:00,391.054,31.147,244.659,6.771
2021-09-01 12:00:00,480.938,26.138,237.149,7.466
2021-09-01 13:00:00,422.591,37.784,257.07,5.84
2021-09-01 14:00:00,303.12,45.512,269.225,4.836
2021-09-01 15:00:00,208.335,49.021,226.957,5.354
2021-09-01 16:00:00,225.405,39.982,128.483,7.434
2021-09-01 17:00:00,136.324,58.293,72.998,13.903
2021-09-01 18:00:00,61.903,72.92,39.93,21.783
2021-09-01 19:00:00,10.703,109.22,5.797,27.613
2021-09-01 20:00:00,1.898,143.479,0.017,41.363
2021-09-01 21:00:00,2.01,157.872,0.0,44.894
2021-09-01 22:00:00,2.122,129.917,0.0,37.196
2021-09-01 23:00:00,2.869,127.531,0.0,32.559
2021-09-02 00:00:00,1.687,109.366,0.0,26.927
2021-09-02 01:00:00,1.785,97.033,0.0,27.172
2021-09-02 02:00:00,1.199,104.854,0.0,23.009
2021-09-02 03:00:00,0.826,103.433,0.0,21.875
2021-09-02 04:00:00,0.897,105.858,0.0,24.275
2021-09-02 05:00:00,0.681,105.432,0.0,24.474
2021-09-02 06:00:00,1.545,111.971,2.823,23.353
2021-09-02 07:00:00,22.755,94.903,28.817,17.354
2021-09-02 08:00:00,82.675,73.104,107.416,7.907
2021-09-02 09:00:00,212.584,43.94,209.708,3.637
2021-09-02 10:00:00,333.556,33.456,260.861,4.401
2021-09-02 11:00:00,415.56,28.651,281.068,4.41
2021-09-02 12:00:00,456.7,24.35,234.51,6.639
2021-09-02 13:00:00,370.045,28.354,251.367,5.187
2021-09-02 14:00:00,208.883,43.671,175.572,5.948
2021-09-02 15:00:00,154.367,46.84,100.045,8.632
2021-09-02 16:00:00,160.008,43.428,94.435,8.006
2021-09-02 17:00:00,45.692,80.621,51.583,11.442
2021-09-02 18:00:00,16.784,121.033,17.838,21.009
2021-09-02 19:00:00,2.385,136.13,1.994,33.021
2021-09-02 20:00:00,1.181,152.763,0.002,40.129
2021-09-02 21:00:00,1.108,150.412,0.0,44.498
2021-09-02 22:00:00,2.173,134.986,0.0,35.482
2021-09-02 23:00:00,1.011,120.54,0.0,27.208
2021-09-03 00:00:00,0.793,107.129,0.0,25.549
2021-09-03 01:00:00,2.106,81.92,0.0,21.829
2021-09-03 02:00:00,0.955,96.193,0.0,22.733
2021-09-03 03:00:00,0.711,94.536,0.0,27.517
2021-09-03 04:00:00,0.729,99.585,0.0,20.561
2021-09-03 05:00:00,0.934,102.671,0.0,25.147
2021-09-03 06:00:00,0.528,109.17,0.219,26.823
2021-09-03 07:00:00,4.106,108.439,5.513,22.253
2021-09-03 08:00:00,24.119,95.669,21.941,18.248
2021-09-03 09:00:00,103.514,73.07,85.209,13.074
2021-09-03 10:00:00,183.802,50.981,120.267,14.074
2021-09-03 11:00:00,291.225,41.391,171.595,6.13
2021-09-03 12:00:00,288.122,44.407,219.431,6.384
2021-09-03 13:00:00,283.081,43.82,247.395,6.011
2021-09-03 14:00:00,354.513,35.459,260.251,5.83
2021-09-03 15:00:00,324.602,37.751,219.516,8.4
2021-09-03 16:00:00,248.803,46.034,152.224,13.284
2021-09-03 17:00:00,126.924,66.203,90.351,16.827
2021-09-03 18:00:00,42.03,107.323,29.484,23.202
2021-09-03 19:00:00,11.552,129.654,3.64,43.286
2021-09-03 20:00:00,1.414,143.128,0.011,52.381
2021-09-03 21:00:00,1.073,172.565,0.0,54.852
2021-09-03 22:00:00,1.722,155.323,0.0,49.856
